Series Name,Series Code,Country Name,Country Code,2015 [YR2015],,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Afghanistan,AFG,169146608,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Albania,ALB,989578334.8,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Algeria,DZA,-537792920.9,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,American Samoa,ASM,..,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Andorra,AND,..,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Angola,AGO,10028215163,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Antigua and Barbuda,ATG,114024660.1,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Argentina,ARG,11758994011,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Armenia,ARM,184127986.3,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Aruba,ABW,-26881396.99,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Australia,AUS,46892808568,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Austria,AUT,-7975773544,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Azerbaijan,AZE,4047630000,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Bahamas, The",BHS,76075924.75,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bahrain,BHR,64893617.02,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bangladesh,BGD,2831152765,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Barbados,BRB,688525943.3,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Belarus,BLR,1652300000,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Belgium,BEL,-19514245855,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Belize,BLZ,59119223.9,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Benin,BEN,149755663.3,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bermuda,BMU,-143094386.1,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bhutan,BTN,6450953.85,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bolivia,BOL,554643532.3,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bosnia and Herzegovina,BIH,383089615.7,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Botswana,BWA,378554181.5,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Brazil,BRA,64738153494,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,British Virgin Islands,VGB,66712741570,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Brunei Darussalam,BRN,171289167.8,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bulgaria,BGR,2221390000,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Burkina Faso,BFA,231901703.7,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Burundi,BDI,7360447.709,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cabo Verde,CPV,96071472.84,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cambodia,KHM,1822804151,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cameroon,CMR,694336734.9,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Canada,CAN,59986208237,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cayman Islands,CYM,80501525460,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Central African Republic,CAF,3000000,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Chad,TCD,559642020,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Channel Islands,CHI,..,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Chile,CHL,17766285629,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,China,CHN,2.42489E+11,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Colombia,COL,11620532646,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Comoros,COM,4936699.51,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Congo, Dem. Rep.",COD,1165720010,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Congo, Rep.",COG,4279839199,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Costa Rica,CRI,2955521681,,,,,,
